CountermeasureID,Countermeasure,Key Stakeholder,Benefit-cost ratio,CMF1,CMF1 Link,Sev1,AreaType1,CrashType1,StarRating1,CMF2,CMF2 Link,Sev2,AreaType2,CrashType2,StarRating2,Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool
treat040,Replace Incandescent Traffic Signal Bulbs with Light Emitting Diodes (LEDs),"State DOTs, MPOs, traffic signal engineers, utility companies, safety advocacy groups.",xx,0.827,CMF4901,All,Urban,Rear End,4,0.959,CMF4904,All,Urban,Angle ,3,Light Emitting Diodes (LEDs) improve driver awareness and visibility of signals and signs at intersections.,LED-enhanced STOP signs or warning beacons,"Backplates with retroreflective borders
",Automated Traffic Signal Performance Monitoring,"1. Replace incandescent bulbs with LEDs at signalized intersections on urban roads to improve visibility, reduce maintenance needs, and cut energy consumption.
2. LED signal heads are typically installed during routine maintenance, signal upgrades, or as part of broader energy efficiency or safety initiatives. 
3. Best for busy intersections with complex lane use, offering brighter visibility and lower maintenance. In low-volume rural or cold areas, unnecessary use may cause lens frosting and reduced signal clarity.","Upgrading to LEDs aligns with the SSA approach by enhancing visibility and signal clarity, helping drivers detect and respond to signals more reliably. It supports human vulnerability and error reduction, helping drivers respond more reliably and reducing angle and rear-end crashes in poor conditions.","Agencies should proactively retrofit existing incandescent signal bulbs with LEDs during signal maintenance, upgrades, or energy-efficiency programs. Prioritize intersections with high crash rates, poor visibility, or high energy and maintenance costs. LED conversions typically yield rapid cost savings and crash reductions, and bulk or corridor-based implementations can increase efficiency.",Intersection,"Angle, Rear-end, Turning",Reduced visibility,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,Not specified,5,Low,Current,LED signals; visibility; reliability; energy efficiency
treat042,Install profiled thermoplastic pavement markings,"State DOTs, MPOs, engineering consultants, construction contractors, safety advocacy groups.",3.65:1,0.898,CMF9812,KABC,Rural,All,5,0.973,CMF9799,KABC,Rural,All,4,"Profiled thermoplastic pavement markings are raised, reflective lines that enhance visibility and provide tactile-auditory feedback to reduce nighttime and wet-weather lane departures.","Reflective Raised Pavement Markers
","Wider Longitudinal Pavement Markings
",Wet-Reflective Pavement Markings,"1. Install during resurfacing or upgrades where markings deteriorate quickly or visibility is poor in wet or dark conditions.
2. Apply on freeways, rural arterials, curves, and ramps with a documented history of run-off-road or lane-departure crashes, especially under low-visibility conditions.
3. Work well on high-speed highways to improve visibility and lane discipline. On low-speed urban or residential roads, they can create excess noise, disturb nearby land use, and wear quickly under turning traffic.",Supports the Safe System Approach by improving Safer Roads and Safer People. It addresses human error by reinforcing lane discipline and providing early feedback to reduce crash frequency and severity.,"Incorporate profiled thermoplastic markings during planned resurfacing, restriping, or safety improvement projects?especially on corridors with documented lane-departure crashes or low nighttime visibility. Prioritize sites with recurring wet-weather incidents and ensure compatibility with snowplows and local noise considerations. Use systemic safety analysis to identify candidate road segments before crashes occur.",Roadway Departure,"Run-off-road, Head-on","Reduced visibility, Driver inattention/distration",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,"Install edgeline ?profile marking,? edgeline rumble strips or modified shoulder rumble strips on section with narrow or no paved shoulders",Not specified,5,Low,Current,Thermoplastic markings; profile lines; vibration cue; lane guidance; enhanced delineation; wet visibility
treat043,Modify signal phasing (implement a leading pedestrian interval),"State DOTs, MPOs, traffic signal engineers, pedestrian advocacy groups, community associations, active road users.",0.185428241,0.72,CMF9908,KABC,Urban,All,4,0.83,CMF9902,KABC,Urban,All,5,"A Leading Pedestrian Interval (LPI) gives pedestrians a 3?7 second head start, reducing crashes by increasing their visibility before vehicles begin turning.",LED-enhanced signal lenses,"High-visibility signal backplates
",Advance warning flashing beacons,"1. LPIs are best applied at signalized intersections with high pedestrian activity and a history of conflicts between turning vehicles and crossing pedestrians, especially in urban areas or near schools and transit stops.
2. Implement LPIs by adjusting signal timing to give pedestrians a 3?7 second walk phase before the vehicle green, ensuring proper signal programming and clear pedestrian signals per MUTCD guidelines.                                                                                                                                                                      Suits busy urban crossings but can disrupt flow and raise rear-end risks in rural or coordinated corridors.                                                                                                                                                                     ","LPIs support the Safe System Approach by protecting pedestrians through signal timing. . They address human vulnerability and reduce vehicle conflicts, especially for those at greater risk.",Proactive implementation of LPIs involves identifying intersections with high pedestrian volumes or turning-vehicle conflicts before crash patterns emerge. Traffic signal timing plans should be reviewed and adjusted to include a pedestrian lead time of 3?7 seconds. This early action improves safety by increasing pedestrian visibility and reducing the risk of vehicle-pedestrian collisions.,Pedestrian and Bicyclists,"Speeding, Red light running","Reduced visibility, Failure to yield, Driver inattention/distraction",Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Drivers and Passengers,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,Principal Arterial Other,10,Moderate to High,Proven,Pedestrian priority; signal timing; reduce turning conflicts
treat044,"Install high-visibility yellow, continental type crosswalks at schools","State DOTs, MPOs, community associations, school districts, safety advocacy groups, engineering consultants.",xx,0.63,CMF2697,All,Urban,Pedestrian,4,0.63,CMF2697,All,Urban,Pedestrian,4,"High-visibility continental crosswalks consist of thick, longitudinal yellow bars spaced apart across the width of a crossing.","Install School Zone Flashers
","Install Advance School Crossing Signs
",Use Raised Crosswalks in School Zones,"1. These crosswalks are best applied at uncontrolled or stop-controlled school crossings, midblock school zone crossings, and intersections near school entrances.
2. They should be installed where there is a high volume of student pedestrian traffic or where crash risk is elevated due to poor visibility, multiple lanes, or high-speed approaches. The yellow coloring is recommended for school zones per MUTCD guidance to differentiate school-related crossings from standard white-marked crosswalks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       3. Ideal near schools to alert drivers and protect students, but on low-traffic rural roads, they may cause unnecessary maintenance costs and visual clutter.","This treatment supports the Safe System principles of visibility, redundancy, and safe speeds by making crossing locations highly noticeable and encouraging drivers to reduce speed. ","Agencies can proactively install these crosswalks as part of Safe Routes to School (SRTS) programs, during scheduled school zone safety upgrades, or based on walkability audits and crash data. Community feedback and parent advocacy can also help prioritize locations near elementary and middle schools.",Pedestrian and Bicyclists,Crossing-related,"Reduced visibility, Failure to yield, Driver inattention/distraction",Safe Road Users,Tier 4: Increase attentiveness and awareness,Safer Drivers and Passengers,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Provide Crosswalk Enhancements ,Not Specified,5,Low,Proven,Pedestrian safety; school zone visibility; driver alertness; marked crossings
treat045m,Install a Pedestrian Hybrid Beacon (PHB or HAWK) ,"State DOTs, MPOs, advocacy groups, community associations, engineering consultants, active pedestrian users. ",xx,0.685,CMF10594,KABC,Urban,All,5,0.552,CMF10596,KABC,Urban,All,5,A Pedestrian Hybrid Beacon (PHB) is a pedestrian-activated signal that stops vehicles to allow safe pedestrian crossing at unsignalized locations.,"Curb extensions or median refuge islands
","Rectangular Rapid Flashing Beacons (RRFBs)
",Raised crosswalks at unsignalized locations,"1. Install Pedestrian Hybrid Beacons on multilane roadways with high vehicle speeds, where pedestrian activity is frequent, and traffic signals are unwarranted, but safety concerns persist.
2. Use PHBs at midblock or unsignalized pedestrian crossings where driver yielding behavior is poor and crash history indicates a high risk for pedestrian-vehicle conflicts.
3. Best suited for marked crosswalks or multiple lanes; avoid locations too close to side streets or driveways with their own stop/yield signs.","This supports the Safe Roads and Safe Road Users elements by accommodating human mistakes and vulnerabilities. By proactively providing multiple layers of protection, it builds redundancy and upholds the principle that death and serious injuries are unacceptable.","Transportation agencies can proactively deploy PHBs at high-risk pedestrian crossing locations especially midblock or multilane corridors before crash thresholds are exceeded or signal warrants are formally met. Prioritizing underserved areas, school zones, and transit stops ensures equitable safety outcomes. Integrating PHBs with systemic safety planning helps address crash risk through predictive, rather than reactive, safety improvements.",Intersection,Crossing-related,Risky crossing behavior,Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Signals to Alert Motorists That Pedestrians Are Crossing,All,10,Moderate,Proven,Pedestrian beacon; HAWK signal; active warning; pedestrian safety; crosswalk enhancement; yield compliance; visibility
treat046,Install raised median with or without marked crosswalk (uncontrolled),"State DOTs, MPOs, engineering consultants, construction contractors, business owners, community associations.",N/A,0.714,CMF9014,ABC,Urban,All,4,0.722,CMF9016,ABC,Urban,Rear end,4,"Installing a raised median at uncontrolled locations involves placing a physical, often landscaped or curbed, island in the center of a roadway to separate opposing traffic and provide a refuge area for pedestrians","Rectangular Rapid Flashing Beacons (RRFBs)
","Pedestrian Hybrid Beacons (PHBs)
",High-Visibility Crosswalk Markings,"1. Install raised medians during corridor redesigns to provide pedestrian refuge and reduce crossing conflicts on multilane roads.
2. Apply at midblock or unsignalized locations with high pedestrian demand, crash history, or limited safe crossing opportunities.
3. Best suited for uncontrolled crossings on multi-lane roads with high traffic volumes; avoid on high-speed roads or complex intersections where visibility is poor and no additional safety measures are present.","This countermeasure supports Safer Roads element of the SSA by accommodating human mistakes and vulnerabilities. By separating opposing traffic and providing pedestrians a refuge space, it builds redundancy and upholds the principle that death and serious injuries are unacceptable.","Proactive implementation involves identifying high-risk pedestrian corridors through crash data, speed studies, and community input, then installing raised medians before serious incidents occur. Agencies can integrate median construction into scheduled roadway resurfacing or reconstruction projects, ensuring cost-effectiveness and timely delivery. This forward-thinking approach enhances safety without waiting for crash thresholds to be met.",Intersection,Crossing-related,Risky crossing behavior,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,Minor Arterial,20,High,Current,Raised median; uncontrolled crossing; pedestrian refuge; midblock safety; access control; speed moderation
treat048,Replace TWLTL with raised median,"State DOTs, MPOs, engineering consultants, construction contractors, business owners, community associations.",11.2:1,0.79,CMF2519,ABC,Urban,Angle,4,0.77,CMF2514,All,Urban,Angle ,4,"A raised median is a physical barrier, typically made of concrete, asphalt, or landscaping, installed in the center of a roadway to separate opposing directions of traffic.","Install Pedestrian Refuge Islands
","Restrict Left-Turn Access with Channelization
",Install Curb Extensions or Bulb-Outs,"1. Raised medians are typically installed on multilane urban or suburban arterials where midblock left-turns, pedestrian activity, or crash frequency is a concern.
2. They are most effective on roadways with high volumes, frequent turning movements, or a history of head-on or angle crashes. Raised medians can also serve as pedestrian refuge islands where crosswalks are present.",This treatment aligns with Safe System principles of separation and crash severity reduction by minimizing the chances of head-on and side-impact collisions. Raised medians also improve safe speeds by narrowing perceived roadway width and limiting erratic turning behavior.,"Agencies can implement raised medians proactively through corridor safety studies, access management programs, or systemic risk assessments. Target corridors often include those with high crash rates, uncontrolled left-turn activity, or significant pedestrian crossing volumes.",Roadway Departure,"Run-off-road, Head-on","Lack of physical separation between opposing traffic directions, Risky turning maneuvers, Midblock crossing",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the severity of the crash,Improve design and application of barrier and attenuation systems,All,20,High,Current,Access management; head-on conflict reduction; physical separation; safer turns
treat050,Install a traffic signal,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations, advocacy groups.",53.8:1,0.68,CMF10275,KAB,Urban,All,3,0.601,CMF7984,KABC,All,All,4,Traffic signal installation controls vehicle movements to reduce crashes by minimizing conflict points and improving traffic coordination.,Dedicated left turn lane,Chanelized right turn lane,Roundabout conversion,"1. Traffic signals should be installed at intersections with high traffic volumes, crash frequency, or where gaps in traffic need to be created for safe crossing.
2. Proper installation involves meeting MUTCD signal warrants, optimizing signal timing, and ensuring visibility with correctly placed signal heads and support infrastructure.
3. The MUTCD states that traffic signals must meet one or more signal warrants based on traffic volume, crashes, or pedestrian needs, and be properly placed with clear visibility and coordinated timing.","Aligns with the Safe System Approach by reducing conflict points, managing vehicle speeds, and clearly assigning right-of-way, thereby minimizing crashes for all road users.","Proactive implementation involves using traffic engineering studies to identify intersections approaching MUTCD signal warrants, such as increasing volumes or crash frequency, and installing signals to mitigate emerging safety and operational issues.",Intersection,"Angle, Rear-end, Turning",Inadequate gaps for safe crossing or turning movements,Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through traffic control and operational improvements,Employ multiphase signal operation,Not specified,10,Moderate to High,Current,Traffic control; signal timing; manage intersection flow; reduce crossing conflicts
treat052,Install advanced yield or stop markings and signs,"State DOTs, MPOs, local government, engineering consultants, pedestrian advocacy groups and community associations.",N/A,0.886,CMF9018,All,Urban,All,3,0.75,CMF9017,All,Urban,Pedestrian,3,Pavement and roadside markings/signs guiding drivers to stop/yield earlier to improve pedestrian visibility and safety at crossings.,"Rectangular Rapid Flashing Beacons (RRFBs)
","Curb Extensions (Bulb-outs)
",Pedestrian Hybrid Beacons (PHBs),"1. Install at multilane uncontrolled crossings where pedestrian visibility is limited and drivers frequently stop near crosswalks.
2. Use at intersections with history of pedestrian crashes or poor driver yielding compliance to marked crosswalks.
3. The FHWA states that this marking can be used ?Advance stop and yield markings help address multiple-threat crashes and are recognized as a Proven Safety Countermeasure for pedestrian safety at uncontrolled locations.?",This countermeasure supports the Safe System Approach by improving Safer Roads and Safer People. It proactively reduces the likelihood and severity of pedestrian crashes by increasing driver awareness and reaction time in crossing situations.,"Advanced yield or stop markings can be installed during routine maintenance, restriping, or resurfacing projects without requiring major infrastructure changes. Agencies should prioritize corridors with documented pedestrian conflicts, multilane roads, and school zones, and pair installations with public education and enforcement to maximize yielding compliance and pedestrian safety.",Intersection,Failure to Yield,"Reduced visibility, Failure to yield, Driver inattentive/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve sight distance at unsignalized intersections,Clear sight triangles on stop- or yield-controlled approaches to intersections,Minor Arterial,15,Low,Current,Advanced markings; yield line; stop control; visual cue; pedestrian awareness; low-cost improvement
treat053,Install shoulder rumble strips,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations, advocacy groups.",58.6:1,0.56,CMF9425,KA,Rural,Single vehicle,3,0.53,CMF3561,KABC,Rural,Run off road,4,Shoulder rumble strips on straight sections of undivided highways alert drivers who unintentionally drift due to distraction or drowsiness.,"Centerline Rumble Strips
","High-Visibility Pavement Markings
",Enhanced Curve Delineation,"1. Install shoulder rumble strips on straight, undivided rural highways where there's a higher risk of head-on, sideswipe, or run-off-road crashes due to driver inattention.
2. Shoulder rumble strips are milled into the pavement during resurfacing or as a retrofit to warn drifting drivers through tactile vibration and audible noise signals.
3. Shoulder rumble strips should be avoided on narrow or deteriorated pavements, in urban or noise-sensitive areas, and where shoulders are heavily used by cyclists.","Shoulder rumble strips enhance Safe Roads and Safe Road Users by reducing lane-departure crashes,  aligning with SSA principles of proactivity, redundancy, shared responsibility, human vulnerability, and zero deaths.","Milled shoulder rumble strips (7"" wide, 16"" long, 0.5"" deep) offer effective, low-cost safety benefits and should be installed during resurfacing on high-speed rural roads, where pavement and shoulder conditions allow",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Install shoulder rumble strips,Not specified,10,Low,Current,Drowsy driving; run-off-road crashes; edge line alert; tactile feedback
treat054,Upgrade existing markings to wet-reflective pavement markings,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations, advocacy groups.",xx,0.595,CMF8110,KABC,All,All,4,0.881,CMF8134,KABC,All,All,5,"Wet-reflective pavement markings enhances safety by improving driver visibility, particularly during nighttime or wet weather.","Centerline and shoulder rumble strips
","High-friction surface treatments
",Enhanced signage on curves,"1. Apply wet-reflective markings on roadways with high nighttime or wet-weather crash rates?particularly on curves, expressways, and multilane arterials.
2. These markings contain special glass beads or optics that maintain retroreflectivity during rainfall, unlike standard markings that lose visibility when submerged.
3. These markings should not be applied on low-volume facilities, short-duration pavements, steep drainage sections, or in contexts where material costs exceed anticipated safety benefits.","By addressing reduced visibility in poor weather and at night, this countermeasure provides an additional safeguard for drivers, allowing more time to recognize road edges and curves, particularly on higher-speed roads. It compensates for momentary driver lapses and supports proactive crash avoidance.","Prioritize corridors with high-speed freeways, arterials, and multilane corridors with wet-weather crash risks, ensuring visibility during nighttime rain. Applying these treatments on durable pavements maximizes cost-effectiveness, enhances safety, and supports proactive roadway management. Prioritizing segments with documented crash history and low retroreflectivity ensures measurable safety gains.",Roadway Departure,"Run-off-road, Head-on","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide enhanced pavement markings,Principal Arterial Other Freeways and Expressways,5,Low,Proven,Visibility in rain; retroreflectivity; pavement marking; all-weather safety
treat055,Install transit signal priority (TSP) technology (transit-related crashes),"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations, advocacy groups, transit agencies, community associations.",xx,,,All,All,All,,,,All,All,All,,"Transit Signal Priority (TSP) reduces transit-related crashes by minimizing red-light delays for buses or trains, improving their movement predictability and reducing conflict with other road users.","Queue jump lanes
","Dedicated transit lanes
",Far-side bus stop placement,"1. TSP should be applied on corridors with high-frequency transit service, frequent signalized intersections, and significant transit delays, especially in urban areas with mixed traffic.
2. Implement TSP by integrating transit detection systems (GPS or sensors) with traffic signal controllers to adjust green and red phases, ensuring compatibility with existing signal infrastructure and minimal disruption to overall traffic flow.","Transit Signal Priority (TSP) supports the Safe System Approach by improving signal coordination, reducing delays, and lowering the risk of crashes involving transit vehicles. It enhances safer roads and speeds by creating more predictable movements and minimizing conflicts with general traffic.","Proactive implementation of TSP involves identifying transit corridors with frequent delays, high ridership, or crash patterns involving buses at intersections. Transportation agencies should coordinate with transit operators to assess signal infrastructure and readiness for TSP technology integration. By deploying TSP before issues escalate, agencies can enhance safety, improve service reliability, and support sustainable urban mobility.",Intersection,"Angle, Rear-end, Turning","Frequent stop-and-go movement of transit vehicles, VRUs",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Drivers and Passengers,Ensure that roadway design and traffic control elements support appropriate and safe speeds,Effect safe speed transitions through design elements and on approaches to lower speed areas ,Not Specified,10, High,Current,Transit priority; signal phasing; reduce transit delays; prevent bus-vehicle conflicts
treat060,Install edgeline rumble strips,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations, advocacy groups.",58.6:1,0.57,CMF3397,KABC,Rural,Run off road,3,0.58,CMF3392,KABC,Rural,Run off road,3,Edgeline rumble strips are a series of milled or raised patterns placed just inside or along the painted edge line of a roadway.,"Roadway edge rumble strips
","High-contrast roadway markings
",Improved curve guidance treatments,"1. Edgeline rumble strips are typically applied on two-lane rural highways, curves, and other road segments with narrow shoulders and a high incidence of roadway departure crashes.
2. They are especially effective where lane departure is a common crash type and where traditional shoulder rumble strips may not be feasible due to space or structural limitations.
3. Best suited for rural highways and high-speed corridors to prevent roadway departures; not suited for urban or residential streets where noise and cyclist safety are concerns.","Supports the Safe System Approach by
accommodating human error and
offering cues that help prevent
roadway departures and severe
crashes.","Edgeline rumble strips can be proactively installed during resurfacing or pavement rehabilitation projects, or identified through systemic safety analysis of corridors with frequent roadway departure incidents. They may also be prioritized in locations with night-driving risks, fatigue-related crashes, or low shoulder visibility.",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,"Install edgeline ?profile marking,? edgeline rumble strips or modified shoulder rumble strips on section with narrow or no paved shoulders",Not Specified,10,Low,Current,Run-off-road crash reduction; shoulder awareness; tactile warning; rural road safety
treat061,Install wider edgelines (4 in to 6 in),"State DOTs, MPOs, engineering consultants, construction contractors, safety advocacy groups",25:01:00,0.635,CMF4737,KABC,Rural,All,4,0.839,CMF4796,KABC,Rural,All,3,Wider edgelines involve increasing the standard width of pavement edge markings from 4 inches to 6 inches.,"Edge-line rumble warnings
","Night-visible lane delineation
",Augmented curve alignment signage,"1. This treatment is typically applied on rural highways, curves, and corridors with high rates of lane departure crashes or low ambient lighting.
2. It is particularly effective on roads with narrow shoulders, minimal lighting, frequent wet pavement conditions, or high nighttime travel volumes.
3. Best suited for rural highways and
multilane roads to improve visibility;
not suited for narrow urban streets
where space and maintenance are
concerns.","Wider edgelines support the Safe
System Approach by enhancing visibility
and lane guidance, accommodating
human mistakes and vulnerability to
reduce crash risks for fatigued or
distracted drivers.","Agencies can proactively implement wider edgelines through systemic safety programs, particularly in corridors identified through crash data analysis or road safety audits. They are also a cost-effective safety enhancement to incorporate into routine resurfacing projects.",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide enhanced pavement markings,Not specified,5,Low,Proven,Visual guidance; lane discipline; retroreflectivity; nighttime visibility
treat063,Install shoulder rumble strips and widen shoulder,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations, safety advocacy groups.",100:01:00,0.451,CMF6670,KABC,Rural,All,3,0.611,CMF6668,KABC,Rural,Run off road,3,Installing shoulder rumble strips and widening the shoulder can improve the visibility and longevity of the pavement under adverse conditions.,"Clear zone improvements
",Enhanced pavement markings,"Guardrails and barriers
","1. Install shoulder rumble strips on rural roads, especially in areas prone to run-off-road crashes and with limited visibility or horizontal curves. These rumble strips alert drifting drivers through vibration and noise, reducing lane departures.
2. Widen shoulders to provide a safe recovery area that allows drivers space to regain control if they veer off the travel lane.
3. Shoulder rumble strips with widened shoulders help on rural freeways and high-speed roads by reducing run-off crashes. In narrow urban corridors, they add noise, reduce cyclist space, and require costly widening.",Shoulder rumble strips with widened shoulders support the Safe System Approach by addressing human error and reducing crash severity.,"Prioritize installation in rural corridors with high incidences of run-off-road and head-on crashes, particularly on segments with horizontal curves or poor visibility. Integrate these measures during resurfacing or shoulder improvement projects for cost efficiency. Use crash data and roadway characteristics to target locations with the greatest safety needs.",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide improved highway geometry for horizontal curves,Not specified,20,High,Current,Run-off-road alert; edge safety; combined treatment; rural safety
treat065,Install wider longitudinal pavement markings,"State DOT, MPOs, engineering consultants, construction contractors, safety advocacy groups.",xx,0.725,CMF10644,All,Rural,All,5,0.711,CMF10643,All,Rural,Run off road,4,Wider pavement markings improve lane visibility and reduce roadway departure crashes.,Rumble strips or rumble stripes,Rumble strips or rumble stripes,Rumble strips or rumble stripes,"1. Wider edge and centerline markings are most effective on rural roads with a high risk of lane departure or limited visibility.
2. They can be implemented during resurfacing, restriping, or safety improvement projects.
3.Wider longitudinal pavement markings improve visibility and lane guidance on rural highways and multilane arterials. On low-speed urban streets, they may offer little added benefit while raising maintenance costs and reducing space for cyclists.","This treatment supports the Safe System Approach by improving Safer Roads and Safer Vehicles, enhancing visual guidance and lane discipline to address human error and vulnerability, especially in low-visibility conditions.","Agencies can proactively install wider markings on corridors identified through systemic safety analysis, especially on road segments with narrow lanes, curves, or a history of roadway departure crashes. Wider markings can also be bundled with low-cost countermeasures like rumble strips and safety edge treatments for greater benefit.",Roadway Departure,Run-off-road,"Reduced visibility, Driver inattention/distration",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide enhanced pavement markings,All,5,Low,Current,Wider markings; longitudinal guidance; visibility enhancement; wet weather delineation; lane discipline
treat066,Install two-way stop controlled intersections at uncontrolled intersections,"State DOTs, MPOs, engineering consultants, law enforcement, community associations, safety advocacy groups.",2:01,0.489,CMF2716,All,Urban,All,4,0.489,CMF2716,All,Urban,All,4,A two-way stop-controlled (TWSC) intersection assigns stop control to traffic on the minor road while allowing traffic on the major road to proceed without stopping.,"Install STOP AHEAD Pavement Markings
","Use Dynamic Warning Signs
",Wider stop bar markings,"1. Two-way stop control is typically applied at intersections where a local or minor road meets a higher-volume road. It is most effective at low- to moderate-volume intersections where assigning right-of-way improves traffic operations and safety.
2. This treatment is appropriate where sight distance is adequate for stopped vehicles to identify gaps in the major road traffic and where crash history or near-misses suggest a need for enhanced control. 3. Two-way stops work well at low-volume intersections to manage right-of-way but can cause delays and crashes on high-volume or multilane roads.","TWSC intersections support the Safe System Approach by promoting crash prevention and shared responsibility, reducing uncertainty and angle crashes.","Agencies can proactively identify uncontrolled intersections for TWSC treatment through systemic safety analysis, community reports, and crash data. Candidate locations often include rural intersections, neighborhood streets, or locations with unclear right-of-way and frequent yielding conflicts.",Intersection,"Angle, Rear-end, Turning","Failure to yield, Right of way, High-speed approach",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,Provide appropriate intersection design for speed of roadway ,Local,10,Moderate to High,Current,Right-of-way control; crash reduction; rural safety; traffic predictability
treat067,"Improve signal visibility, including signal lens size upgrade, installation of new back-plates, addition of reflective tapes to existing back-plates, and installation of additional signal heads","State DOTs, MPOs, traffic signal engineers, utility companies, safety advocacy groups, engineering consultants.",xx,0.902,CMF4111,KABC,Urban,Run off road,5,1.004,CMF4110,KABC,Urban,All,,"Improving signal visibility includes a range of enhancements such as increasing signal lens size, adding new or upgraded back-plates, and installing additional signal heads to ensure better detection and recognition of traffic signals.","Install Dual Red Signal Lenses
","Improve Intersection Illumination
",Install Advance Signal Warning Flashers,"1. This countermeasure is appropriate for signalized intersections where drivers may have difficulty detecting or interpreting the traffic signal.
2. It is especially effective at intersections with crash histories involving red-light running or signal non-compliance.
3. Effective at complex, high-volume intersections to reduce red-light violations and driver confusion. In low-volume or rural areas, it may add little benefit while increasing costs and maintenance needs.","This treatment supports the Safe System Approach by enhancing visibility and redundancy, reducing high-speed intersection crashes where human error or distraction may occur.","Agencies can prioritize locations based on a systemic risk-based approach that considers factors such as long approach distances, skewed geometry, sun glare patterns, background clutter (e.g., trees or signage), and high speeds. Signal visibility audits, nighttime field reviews, and public complaints related to missed or unclear signals can also help identify candidate locations for implementation.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Signal non-compliance",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,Not Specified,10,Moderate,Proven,Signal upgrade; backplates; reflective tapes; lens size
