CountermeasureID,Countermeasure,AreaType,minCMF,maxCMF,RoadType,minStarQuality,maxStarQuality,min_MinAADT,min_MaxAADT,CMF1 (min),CMF2 (max),CMF3 (mean),Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,Key Stakeholder,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type_TBD,Benefit-cost ratio,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool,id,img
treat037,Convert 2 lane roadway to 4 lane divided roadway,All,0.236,0.714,Not specified,4,4,10000,18000,CMF7572,CMF7574,CMF7571,"Expanding and dividing roadways aims to increase capacity and reduce cross-traffic conflicts, potentially improving safety and flow.","Installation of centerline or median barriers
","Addition of dedicated turn lanes
",Add paved shoulders,"State DOTs, Traffic Safety Engineers, Urban Planners","1. This treatment is best suited for roadways with high traffic volumes, limited passing opportunities, and history of head-on or ROR crashes.
2. A divided roadway physically separates travel directions, eliminates the need for risky overtaking, and provides space for left-turn lanes or recovery in the event of driver error.
3. Consider implementing during major reconstruction or corridor upgrades where traffic growth and crash history indicate the need for capacity and safety improvements.","This countermeasure directly aligns with SSA principles by designing roads to reduce conflict points and the consequences of driver error. Divided roadways eliminate direct opposing traffic exposure, and provide room for error recovery, ultimately reducing both crash frequency and severity.","Agencies should identify corridors where traffic volumes, crash histories, and overtaking-related collisions suggest a need for divided roadways. Implementation can be prioritized through safety audits and regional transportation planning. Conversions can be phased or integrated into resurfacing, realignment, or development-driven roadway expansion projects.",Roadway departure,"Run-off-road, Head-on",Risky overtaking maneuvers,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the severity of the crash,Improve design and application of barrier and attenuation systems,Not specified,1.75:1,20,High,Current,Lane separation; capacity; conflict point reduction; median safety,28,treat037.PNG
treat038,Install TWLTL (two-way left turn lane) on four lane road,Urban,0.701,0.701,Not specified,4,4,6800,22141,CMF10375,,,"A TWLTL is a center lane on a four-lane undivided road that allows left turns from both directions, improving safety by separating turning vehicles from through traffic.","Access management
","Raised medians and turn bays
",Road diets with multimodal features,"State and local transportation agencies
Traffic engineers and roadway designers","1. TWLTLs are intended to reduce midblock conflicts by providing a dedicated lane for left-turning vehicles on four-lane undivided roads.
2. They can be considered where left-turn volumes are high, especially on corridors with frequent driveways or minor street intersections.
3. FHWA guidance recommends TWLTLs in locations where a center turn lane would improve safety and reduce crash frequency.",STOP AHEAD pavement markings are a good candidate treatment for implementing the SSA principle of redundancy. They complement other treatments designed to increase the conspicuity of STOP signs and support the separation of different road users in time.,"TWLTLs can be applied proactively by identifying corridors with midblock turning conflicts, crash clusters, and high driveway density. They are commonly implemented during corridor restriping or resurfacing projects where widening is not feasible but safety and multimodal improvements are needed.",Roadway departure,"Head-on, Rear-end, Sideswipe",Lack of separation between opposing traffic,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Not specified,xx,20,Moderate to High,Proven,TWLTL; center turn lane; four-lane road; left-turn safety; rear-end crash reduction; access management,29,treat038.PNG
treat039,Install intersection lighting,Rural,0.792,0.792,All,4,4,,,CMF10993,,,"Intersection lighting improves visibility at night by illuminating the conflict area where road users cross paths, helping reduce nighttime crashes.","Enhanced signing and retroreflective markings
","STOP AHEAD pavement markings
",Channelization or roundabout conversion,"State and local transportation agencies, 
Traffic safety engineers and lighting design consultants","1. Intersection lighting should be installed at intersections with high nighttime crash rates, especially rural or suburban locations with limited ambient light.
2. It is most effective at stop-controlled intersections, roundabouts, or complex junctions.3. 
3. According to FHWA, lighting should cover the intersection area and approaches to enhance visual cues and decision-making.","This countermeasure supports Safer Roads and Safer Users by enhancing nighttime visibility and reducing the risk of missed visual cues. Lighting reduces the likelihood of severe collisions by improving the ability of drivers to detect other vehicles, cyclists, and pedestrians earlier.","Agencies can identify candidate sites by conducting nighttime crash analyses or road safety audits. Installation can be bundled with resurfacing, safety, or intersection improvement projects. Systemic application may target all rural intersections with a history of nighttime crashes or poor visibility",Intersection,"Angle, Rear-end, Turning",Reduced visibility,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections as viewed from the intersection approach,Improve visibility of the intersection by providing lighting,All,5.5:1,15,Moderate to High,Proven,Intersection lighting; nighttime visibility; crash prevention; conflict illumination; energy-efficient lighting,30,treat039.PNG
treat040,Replace Incandescent Traffic Signal Bulbs with Light Emitting Diodes (LEDs),Urban,0.827,1.091,Not specified,4,4,,,CMF4901,CMF4900,CMF4902,Light Emitting Diodes (LEDs) improve driver awareness and visibility of signals and signs at intersections.,LED-enhanced STOP signs or warning beacons,"Backplates with retroreflective borders
",Automated Traffic Signal Performance Monitoring,"State DOTs, Municipal Traffic Engineers, Utility and Energy Departments","1. Replace incandescent bulbs with LEDs at signalized intersections on urban roads to improve visibility, reduce maintenance needs, and cut energy consumption.
2. LED signal heads are typically installed during routine maintenance, signal upgrades, or as part of broader energy efficiency or safety initiatives. 
3. LEDs provide brighter illumination, better visibility during adverse weather, and a faster onset time ? improving signal conspicuity and driver response times.","Upgrading to LEDs aligns with the SSA approach by enhancing visibility and signal clarity, helping drivers detect and respond to signals more reliably. This contributes to reducing angle and rear-end crashes at intersections, especially during low-light conditions or inclement weather.","Agencies should proactively retrofit existing incandescent signal bulbs with LEDs during signal maintenance, upgrades, or energy-efficiency programs. Prioritize intersections with high crash rates, poor visibility, or high energy and maintenance costs. LED conversions typically yield rapid cost savings and crash reductions, and bulk or corridor-based implementations can increase efficiency.",Intersection,"Angle, Rear-end, Turning",Reduced visibility,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,Not specified,xx,5,Low,Current,LED signals; visibility; reliability; energy efficiency,31,treat040.PNG
treat042,Install profiled thermoplastic pavement markings,Rural,0.894,1.229,Not specified,4,5,120,23371,CMF9814,CMF9807,CMF9798,"Profiled thermoplastic pavement markings are raised, reflective lines that enhance visibility and provide tactile-auditory feedback to reduce nighttime and wet-weather lane departures.","Reflective Raised Pavement Markers
","Wider Longitudinal Pavement Markings
",Wet-Reflective Pavement Markings,"State and local transportation agencies, Metropolitan Planning Organizations (MPOs), Pedestrian Advocacy Groups and Community Organizations","1. Install during resurfacing or upgrades where markings deteriorate quickly or visibility is poor in wet or dark conditions.
2. Apply on freeways, rural arterials, curves, and ramps with a documented history of run-off-road or lane-departure crashes, especially under low-visibility conditions.
3. The FHWA states that ?Profiled markings are effective at improving nighttime visibility under wet conditions by maintaining retroreflectivity where flat markings fail.?","Supports the Safe System Approach by improving Safer Roads and Safer People. It reinforces lane discipline, especially when visibility or attention is compromised, and helps reduce crash frequency and severity through early feedback.","Incorporate profiled thermoplastic markings during planned resurfacing, restriping, or safety improvement projects?especially on corridors with documented lane-departure crashes or low nighttime visibility. Prioritize sites with recurring wet-weather incidents and ensure compatibility with snowplows and local noise considerations. Use systemic safety analysis to identify candidate road segments before crashes occur.",Roadway departure,"Run-off-road, Head-on","Reduced visibility, Driver inattention/distration",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,"Install edgeline ?profile marking,? edgeline rumble strips or modified shoulder rumble strips on section with narrow or no paved shoulders",Not specified,3.65:1,5,Low,Current,Thermoplastic markings; profile lines; vibration cue; lane guidance; enhanced delineation; wet visibility,32,treat042.PNG
treat043,Modify signal phasing (implement a leading pedestrian interval),Urban,0.413,1.09,All; Principal Arterial Other,4,5,,,CMF1993,CMF9914,CMF9908,"A Leading Pedestrian Interval (LPI) gives pedestrians a 3?7 second head start, reducing crashes by increasing their visibility before vehicles begin turning.",LED-enhanced signal lenses,"High-visibility signal backplates
",Advance warning flashing beacons,"Agency maintenance personnel, DOT, Active road users","1. LPIs are best applied at signalized intersections with high pedestrian activity and a history of conflicts between turning vehicles and crossing pedestrians, especially in urban areas or near schools and transit stops.
2. Implement LPIs by adjusting signal timing to give pedestrians a 3?7 second walk phase before the vehicle green, ensuring proper signal programming and clear pedestrian signals per MUTCD guidelines.","LPIs support the Safe System Approach by protecting pedestrians through signal timing that creates safer, more predictable crossings and reduces vehicle conflicts, especially for vulnerable road users.",Proactive implementation of LPIs involves identifying intersections with high pedestrian volumes or turning-vehicle conflicts before crash patterns emerge. Traffic signal timing plans should be reviewed and adjusted to include a pedestrian lead time of 3?7 seconds. This early action improves safety by increasing pedestrian visibility and reducing the risk of vehicle-pedestrian collisions.,Pedestrian and Bicyclists,"Speeding, Red light running","Limited visibility, Failure to yield, Driver inattention/distraction",Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Drivers and Passengers,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,Principal Arterial Other,1:207 :1,10,Moderate to High,Proven,Pedestrian priority; signal timing; reduce turning conflicts,33,treat043.PNG
treat044,"Install high-visibility yellow, continental type crosswalks at schools",Urban,0.63,0.63,Not specified,4,4,567,43199,CMF2697,,,"High-visibility continental crosswalks consist of thick, longitudinal yellow bars spaced apart across the width of a crossing.","Install School Zone Flashers
","Install Advance School Crossing Signs
",Use Raised Crosswalks in School Zones,"State and local transportation agencies, municipal public works departments, utility companies","1. These crosswalks are best applied at uncontrolled or stop-controlled school crossings, midblock school zone crossings, and intersections near school entrances.
2. They should be installed where there is a high volume of student pedestrian traffic or where crash risk is elevated due to poor visibility, multiple lanes, or high-speed approaches. The yellow coloring is recommended for school zones per MUTCD guidance to differentiate school-related crossings from standard white-marked crosswalks.","This treatment supports the Safe System principles of visibility, redundancy, and safe speeds by making crossing locations highly noticeable and encouraging drivers to reduce speed. It enhances protection for vulnerable users, especially children, by improving predictability and reducing conflict at crossings.","Agencies can proactively install these crosswalks as part of Safe Routes to School (SRTS) programs, during scheduled school zone safety upgrades, or based on walkability audits and crash data. Community feedback and parent advocacy can also help prioritize locations near elementary and middle schools.",Pedestrian and Bicyclists,Crossing-related,"Limited visibility, Failure to yield, Driver inattention/distraction",Safe Road Users,Tier 4: Increase attentiveness and awareness,Safer Drivers and Passengers,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Provide Crosswalk Enhancements ,Not Specified,xx,5,Low,Proven,Pedestrian safety; school zone visibility; driver alertness; marked crossings,34,treat044.PNG
treat045,Install pedestrian hybrid beacon (PHB or HAWK) with advanced yield or stop markings and signs,Urban and Suburban,0.432,0.82,Minor Arterial,4,4,6634,48791,CMF9021,CMF9022,,Pavement and roadside markings/signs guiding drivers to stop/yield earlier to improve pedestrian visibility and safety at crossings.,"Advanced Yield/Stop Markings and Signs
","High-Visibility Crosswalks
",Pedestrian Refuge Islands,"State and local transportation agencies, Metropolitan Planning Organizations (MPOs), Pedestrian Advocacy Groups and Community Organizations","1. Install Pedestrian Hybrid Beacons on multilane roadways with high vehicle speeds, where pedestrian activity is frequent, and traffic signals are unwarranted but safety concerns persist.
2. Use PHBs at midblock or unsignalized pedestrian crossings where driver yielding behavior is poor and crash history indicates a high risk for pedestrian-vehicle conflicts.
3. The FHWA states that this marking can be used ?Pedestrian Hybrid Beacons have demonstrated a 55% reduction in pedestrian crashes and are considered a Proven Safety Countermeasure by FHWA.?","This treatment supports the Safe System Approach by creating Safer Roads and Safer People. It ensures visibility, attention, and safe yielding behavior through proactive warning systems and spatial separation between vehicles and pedestrians.","Transportation agencies can proactively deploy PHBs at high-risk pedestrian crossing locations especially midblock or multilane corridors before crash thresholds are exceeded or signal warrants are formally met. Prioritizing underserved areas, school zones, and transit stops ensures equitable safety outcomes. Integrating PHBs with systemic safety planning helps address crash risk through predictive, rather than reactive, safety improvements.",Intersection,Crossing-related,Risky crossing behavior,Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Signals to Alert Motorists That Pedestrians Are Crossing,Minor Arterial,,10,Moderate,Proven,Pedestrian beacon; HAWK signal; active warning; pedestrian safety; crosswalk enhancement; yield compliance; visibility,35,treat045.png
treat046,Install raised median with or without marked crosswalk (uncontrolled),Urban and Suburban,0.685,0.742,Minor Arterial,4,4,1245,46000,CMF8799,CMF8800,CMF9014,"Installing a raised median at uncontrolled locations involves placing a physical, often landscaped or curbed, island in the center of a roadway to separate opposing traffic and provide a refuge area for pedestrians","Rectangular Rapid Flashing Beacons (RRFBs)
","Pedestrian Hybrid Beacons (PHBs)
",High-Visibility Crosswalk Markings,"State and local transportation agencies, Metropolitan Planning Organizations (MPOs), Pedestrian Advocacy Groups and Community Organizations","1. Install raised medians during corridor redesigns to provide pedestrian refuge and reduce crossing conflicts on multilane roads.
2. Apply at midblock or unsignalized locations with high pedestrian demand, crash history, or limited safe crossing opportunities.
3. The FHWA states that this marking can be used ?Installing raised medians or pedestrian refuge islands at marked crosswalks reduces pedestrian crashes by 46% at both marked and unmarked crosswalks.?",This treatment supports the Safe System Approach through Safer Roads and Safer People. It reduces crash severity by enabling partial crossings and increases visibility and predictability for both drivers and pedestrians.,"Proactive implementation involves identifying high-risk pedestrian corridors through crash data, speed studies, and community input, then installing raised medians before serious incidents occur. Agencies can integrate median construction into scheduled roadway resurfacing or reconstruction projects, ensuring cost-effectiveness and timely delivery. This forward-thinking approach enhances safety without waiting for crash thresholds to be met.",Intersection,Crossing-related,Risky crossing behavior,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,Minor Arterial,,20,High,Current,Raised median; uncontrolled crossing; pedestrian refuge; midblock safety; access control; speed moderation,36,treat046.jpg
treat048,Replace TWLTL with raised median,Urban,0.53,0.81,All,4,4,4883,96080,CMF2518,CMF2516,CMF2515,"A raised median is a physical barrier, typically made of concrete, asphalt, or landscaping, installed in the center of a roadway to separate opposing directions of traffic.","Install Pedestrian Refuge Islands
","Restrict Left-Turn Access with Channelization
",Install Curb Extensions or Bulb-Outs,"State DOTs, local law enforcement agencies","1. Raised medians are typically installed on multilane urban or suburban arterials where midblock left-turns, pedestrian activity, or crash frequency is a concern.
2. They are most effective on roadways with high volumes, frequent turning movements, or a history of head-on or angle crashes. Raised medians can also serve as pedestrian refuge islands where crosswalks are present.",This treatment aligns with Safe System principles of separation and crash severity reduction by minimizing the chances of head-on and side-impact collisions. Raised medians also improve safe speeds by narrowing perceived roadway width and limiting erratic turning behavior.,"Agencies can implement raised medians proactively through corridor safety studies, access management programs, or systemic risk assessments. Target corridors often include those with high crash rates, uncontrolled left-turn activity, or significant pedestrian crossing volumes.",Roadway departure,"Run-off-road, Head-on","Lack of physical separation between opposing traffic directions, Risky turning maneuvers, Midblock crossing",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the severity of the crash,Improve design and application of barrier and attenuation systems,All,11.2:1,20,High,Current,Access management; head-on conflict reduction; physical separation; safer turns,37,treat048.PNG
treat049,Provide short 2+1 road sections,Rural,0.51,0.53,All,4,4,5234,18405,CMF10268,CMF10267,,"A 2+1 road section alternates two lanes in one direction and one in the opposite every few kilometers, allowing safe overtaking on rural highways with limited passing opportunities.","Passing Lanes
","Centerline Rumble Strips
",Median Barriers,"State and local transportation agencies, Metropolitan Planning Organizations (MPOs), Pedestrian Advocacy Groups and Community Organizations","1. Implement alternating 2+1 segments every 1.5 to 3 miles, ensuring safe lane transitions, adequate sight distance, and consistent design.
2. Use in corridors with frequent head-on or overtaking-related crashes or where full four-lane widening is impractical due to cost or environmental constraints.
3. The FHWA states that ?2+1 roads can be an effective and lower-cost alternative to full four-lane expansion on rural highways, offering significant safety and operational benefits.?","Supports the Safe System Approach by enabling Safer Roads and Safer Speeds. This treatment proactively reduces the conditions that lead to severe head-on crashes and accommodates human error by providing controlled, dedicated overtaking zones.","Implement 2+1 road sections during resurfacing, safety upgrades, or capacity planning on rural highways. Use crash history and traffic volume data to prioritize segments. Design should ensure consistent spacing, clear markings, and safe transitions. Early integration minimizes costs and enhances safety without requiring full corridor reconstruction.",Roadway departure,"Run-off-road, Head-on",Limited passing opportunities,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the severity of the crash,Improve design and application of barrier and attenuation systems,All,1.5:1,20,High,Current,2+1 roads; alternating passing lanes; rural highway safety; overtaking zone; speed management; road diet,38,treat049.jpg
treat050,Install a traffic signal,All,0.23,1.586,Not specified,4,5,,,CMF326,CMF7988,CMF7981,Traffic signal installation controls vehicle movements to reduce crashes by minimizing conflict points and improving traffic coordination.,Dedicated left turn lane,Chanelized right turn lane,Roundabout conversion,"State DOT, Local enforcement, active road users","1. Traffic signals should be installed at intersections with high traffic volumes, crash frequency, or where gaps in traffic need to be created for safe crossing.
2. Proper installation involves meeting MUTCD signal warrants, optimizing signal timing, and ensuring visibility with correctly placed signal heads and support infrastructure.
3. The MUTCD states that traffic signals must meet one or more signal warrants based on traffic volume, crashes, or pedestrian needs, and be properly placed with clear visibility and coordinated timing.","Aligns with the Safe System Approach by reducing conflict points, managing vehicle speeds, and clearly assigning right-of-way, thereby minimizing crashes for all road users.","Proactive implementation involves using traffic engineering studies to identify intersections approaching MUTCD signal warrants, such as increasing volumes or crash frequency, and installing signals to mitigate emerging safety and operational issues.",Intersection,"Angle, Rear-end, Turning",Inadequate gaps for safe crossing or turning movements,Safe Roads,Tier 3: Manage Conflicts in Time,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through traffic control and operational improvements,Employ multiphase signal operation,Not specified,53.8:1,10,Moderate to High,Current,Traffic control; signal timing; manage intersection flow; reduce crossing conflicts,39,treat050.PNG
treat052,Install advanced yield or stop markings and signs,Urban and Suburban,0.8,0.8,Minor Arterial,4,4,340,52892,CMF9019,,,Pavement and roadside markings/signs guiding drivers to stop/yield earlier to improve pedestrian visibility and safety at crossings.,"Rectangular Rapid Flashing Beacons (RRFBs)
","Curb Extensions (Bulb-outs)
",Pedestrian Hybrid Beacons (PHBs),"State and local transportation agencies, Metropolitan Planning Organizations (MPOs), Pedestrian Advocacy Groups and Community Organizations","1. Install at multilane uncontrolled crossings where pedestrian visibility is limited and drivers frequently stop near crosswalks.
2. Use at intersections with history of pedestrian crashes or poor driver yielding compliance to marked crosswalks.
3. The FHWA states that this marking can be used ?Advance stop and yield markings help address multiple-threat crashes and are recognized as a Proven Safety Countermeasure for pedestrian safety at uncontrolled locations.?",This countermeasure supports the Safe System Approach by improving Safer Roads and Safer People. It proactively reduces the likelihood and severity of pedestrian crashes by increasing driver awareness and reaction time in crossing situations.,"Advanced yield or stop markings can be installed during routine maintenance, restriping, or resurfacing projects without requiring major infrastructure changes. Agencies should prioritize corridors with documented pedestrian conflicts, multilane roads, and school zones, and pair installations with public education and enforcement to maximize yielding compliance and pedestrian safety.",Intersection,Failure to Yield,"Reduced visibility, Failure to yield, Driver inattentive/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve sight distance at unsignalized intersections,Clear sight triangles on stop- or yield-controlled approaches to intersections,Minor Arterial,,15,Low,Current,Advanced markings; yield line; stop control; visual cue; pedestrian awareness; low-cost improvement,40,treat052.webp
treat053,Install shoulder rumble strips,All,0.53,2.82,"All; Not specified; Principal Arterial Other; Principal Arterial Other, Freeways and Expressways",4,5,30,6205,CMF3561,CMF3570,CMF3442,Shoulder rumble strips on straight sections of undivided highways alert drivers who unintentionally drift due to distraction or drowsiness.,"Centerline Rumble Strips
","High-Visibility Pavement Markings
",Enhanced Curve Delineation,"State DOTs, local law enforcement agencies","1. Install shoulder rumble strips on straight, undivided rural highways where there's a higher risk of head-on, sideswipe, or run-off-road crashes due to driver inattention.
2. Shoulder rumble strips are milled into the pavement during resurfacing or as a retrofit to warn drifting drivers through tactile vibration and audible noise signals.
3. The FHWA states that this marking can be used: ?Shoulder line rumble strips are a proven safety countermeasure shown to reduce head-on and opposite-direction sideswipe crashes on two-lane rural roads.?","Shoulder rumble strips support the SSA by providing tactile and audible warnings to drifting drivers, enabling early corrective action and reducing head-on and run-off-road crashes on undivided highways.","For shoulder applications, milled rumble strips are preferred for their effectiveness and ease of installation. The recommended dimensions (7"" wide, 16"" long, 0.5"" deep) provide optimal noise and vibration. Since shoulder strips produce more in-vehicle noise than shoulder strips, they can be effective at shallower depths.",Roadway departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Install shoulder rumble strips,Not specified,58.6:1,10,Low,Current,Drowsy driving; run-off-road crashes; edge line alert; tactile feedback,41,treat053.PNG
treat054,Upgrade existing markings to wet-reflective pavement markings,All,0.466,1.087,"Not specified; Principal Arterial Other, Freeways and Expressways",4,5,39,13779,CMF10078,CMF8098,CMF8113,"Wet-reflective pavement markings enhances safety by improving driver visibility, particularly during nighttime or wet weather.","Centerline and shoulder rumble strips
","High-friction surface treatments
",Enhanced signage on curves,"State DOTs, Traffic Safety Engineers","1. Apply wet-reflective markings on roadways with high nighttime or wet-weather crash rates?particularly on curves, expressways, and multilane arterials.
2. These markings contain special glass beads or optics that maintain retroreflectivity during rainfall, unlike standard markings that lose visibility when submerged.
3. Installation is typically done during resurfacing or as a retrofit using thermoplastic, paint, or tape-based materials.","By addressing reduced visibility in poor weather and at night, this countermeasure provides an additional safeguard for drivers, allowing more time to recognize road edges and curves, particularly on higher-speed roads. It compensates for momentary driver lapses and supports proactive crash avoidance.","Prioritize corridors with a history of wet-weather crashes or poor night visibility, particularly in areas with aging or worn markings. Wet-reflective materials should be included in pavement marking specs for resurfacing or restriping projects. Agencies can use mobile retroreflectivity equipment to evaluate where upgrades are most needed.",Roadway departure,"Run-off-road, Head-on","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide enhanced pavement markings,Principal Arterial Other Freeways and Expressways,xx,5,Low,Proven,Visibility in rain; retroreflectivity; pavement marking; all-weather safety,42,treat054.avif
treat055,Install transit signal priority (TSP) technology (transit-related crashes),Urban,1.26,1.52,Not specified,4,4,,,CMF2079,CMF2078,,"Transit Signal Priority (TSP) reduces transit-related crashes by minimizing red-light delays for buses or trains, improving their movement predictability and reducing conflict with other road users.","Queue jump lanes
","Dedicated transit lanes
",Far-side bus stop placement,"Agency maintenance personnel, DOT, Active road users","1. TSP should be applied on corridors with high-frequency transit service, frequent signalized intersections, and significant transit delays, especially in urban areas with mixed traffic.
2. Implement TSP by integrating transit detection systems (GPS or sensors) with traffic signal controllers to adjust green and red phases, ensuring compatibility with existing signal infrastructure and minimal disruption to overall traffic flow.","Transit Signal Priority (TSP) supports the Safe System Approach by improving signal coordination, reducing delays, and lowering the risk of crashes involving transit vehicles. It enhances safer roads and speeds by creating more predictable movements and minimizing conflicts with general traffic.","Proactive implementation of TSP involves identifying transit corridors with frequent delays, high ridership, or crash patterns involving buses at intersections. Transportation agencies should coordinate with transit operators to assess signal infrastructure and readiness for TSP technology integration. By deploying TSP before issues escalate, agencies can enhance safety, improve service reliability, and support sustainable urban mobility.",Intersection,"Angle, Rear-end, Turning","Frequent stop-and-go movement of transit vehicles, VRUs",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Drivers and Passengers,Ensure that roadway design and traffic control elements support appropriate and safe speeds,Effect safe speed transitions through design elements and on approaches to lower speed areas ,Not Specified,xx,10, High,Current,Transit priority; signal phasing; reduce transit delays; prevent bus-vehicle conflicts,43,treat055.jpg
treat059,Install centerline rumble strips on tangent sections,Rural,0.33,1.1,Not specified,4,5,574,13240,CMF3386,CMF3382,CMF3381,Centerline rumble strips on straight sections of undivided highways alert drivers who unintentionally drift due to distraction or drowsiness.,"Shoulder Rumble Strips
","High-Visibility Pavement Markings
",Enhanced Curve Delineation,"State DOTs, local law enforcement agencies","1. Install centerline rumble strips on straight, undivided rural highways where there's a higher risk of head-on, sideswipe, or run-off-road crashes due to driver inattention.
2. Centerline rumble strips are milled into the pavement during resurfacing or as a retrofit to warn drifting drivers through tactile vibration and audible noise signals.
3. The FHWA states that this marking can be used ?Center line rumble strips are a proven safety countermeasure shown to reduce head-on and opposite-direction sideswipe crashes on two-lane rural roads?","Centerline rumble strips support the SSA by providing tactile and audible warnings to drifting drivers, enabling early corrective action and reducing head-on and run-off-road crashes on undivided highways.","Centerline rumble strips should be proactively installed on undivided rural highways with a history or potential for lane departure crashes. Integrating them during resurfacing projects maximizes efficiency and cost-effectiveness. Agencies should prioritize corridors based on crash data and roadway characteristics, ensuring early intervention before severe crashes occur.",Roadway departure,"Single Vehicle, Head-on, Opposite direction sideswipe","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Install midlane rumble strips,Not Specified,7.37:1,10,Low,Current,Drowsy driving alert; long straight segment safety; tactile feedback; lane deviation alert,44,treat059.png
treat060,Install edgeline rumble strips,Rural,0.61,0.86,"Freeways
Multilane divided / undivided",4,5,180,12776,CMF3396,CMF3398,CMF3394,Edgeline rumble strips are a series of milled or raised patterns placed just inside or along the painted edge line of a roadway.,"Roadway edge rumble strips
","High-contrast roadway markings
",Improved curve guidance treatments,"State DOTs, local law enforcement agencies","1. Edgeline rumble strips are typically applied on two-lane rural highways, curves, and other road segments with narrow shoulders and a high incidence of roadway departure crashes.
2. They are especially effective where lane departure is a common crash type and where traditional shoulder rumble strips may not be feasible due to space or structural limitations.
3. Application should follow guidance on spacing, depth, and pattern design to avoid excessive noise or damage to bicycles or vehicles.","This treatment supports Safe System principles of human error tolerance and crash prevention by providing a physical and sensory cue to correct drifting. It also helps in crash severity management, as early correction can prevent a complete departure from the roadway.","Edgeline rumble strips can be proactively installed during resurfacing or pavement rehabilitation projects, or identified through systemic safety analysis of corridors with frequent roadway departure incidents. They may also be prioritized in locations with night-driving risks, fatigue-related crashes, or low shoulder visibility.",Roadway departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,"Install edgeline ?profile marking,? edgeline rumble strips or modified shoulder rumble strips on section with narrow or no paved shoulders",Not Specified,58.6:1,10,Low,Current,Run-off-road crash reduction; shoulder awareness; tactile warning; rural road safety,45,treat060.jpg
treat061,Install wider edgelines (4 in to 6 in),Rural,0.635,0.877,Rural two-lane highways,4,4,,,CMF4737,CMF4738,CMF4739,Wider edgelines involve increasing the standard width of pavement edge markings from 4 inches to 6 inches.,"Edge-line rumble warnings
","Night-visible lane delineation
",Augmented curve alignment signage,"State DOTs, local law enforcement agencies","1. This treatment is typically applied on rural highways, curves, and corridors with high rates of lane departure crashes or low ambient lighting.
2. It is particularly effective on roads with narrow shoulders, minimal lighting, frequent wet pavement conditions, or high nighttime travel volumes.
3. Wider edgelines can be integrated during resurfacing, pavement marking refresh cycles, or as part of targeted safety projects.","Wider edgelines support the Safe System principles of visibility, reducing exposure, and crash prevention by improving lane definition and providing more forgiving guidance, especially for fatigued, distracted, or older drivers.","Agencies can proactively implement wider edgelines through systemic safety programs, particularly in corridors identified through crash data analysis or road safety audits. They are also a cost-effective safety enhancement to incorporate into routine resurfacing projects.",Roadway departure,Run-off-road,"Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Provide enhanced pavement markings,Not specified,25:1,5,Low,Proven,Visual guidance; lane discipline; retroreflectivity; nighttime visibility,46,treat061.jpg
